Entry,2,3,4,5
Avg,626.280ns,5.789µs,11.029µs,16.173µs
1,4.479µs,28.388µs,37.896µs,47.498µs
50001,610.000ns,5.685µs,10.888µs,15.958µs
100001,829.000ns,7.313µs,13.998µs,20.602µs
150001,623.000ns,5.587µs,10.595µs,15.670µs
200001,606.000ns,5.548µs,10.667µs,15.667µs
250001,593.000ns,5.577µs,10.685µs,15.651µs
300001,603.000ns,5.490µs,10.644µs,15.641µs
350001,628.000ns,5.571µs,10.752µs,15.723µs
400001,634.000ns,5.735µs,10.928µs,16.106µs
450001,640.000ns,5.699µs,10.858µs,16.020µs
500001,621.000ns,5.591µs,10.657µs,15.547µs
550001,687.000ns,5.665µs,10.912µs,16.014µs
600001,585.000ns,5.492µs,10.517µs,15.536µs
650001,616.000ns,5.784µs,10.891µs,15.978µs
700001,569.000ns,5.681µs,10.776µs,15.832µs
750001,614.000ns,5.619µs,10.681µs,15.647µs
800001,623.000ns,5.600µs,10.728µs,15.710µs
850001,636.000ns,5.660µs,10.652µs,15.670µs
900001,603.000ns,5.720µs,10.974µs,16.072µs
950001,641.000ns,5.686µs,10.950µs,15.983µs
